Image,Offer,Link,Credit Card
,,,
https://images.ixigo.com/image/upload/f_auto/upload/91d7cb6f3b0e0dab2b9b6ea845f87df0-kvpmx.png,IDFC CC EMI WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-hotels,FIRST EARN RuPay Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/91d7cb6f3b0e0dab2b9b6ea845f87df0-kvpmx.png,IDFC CC EMI WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-hotels,Ashva Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/91d7cb6f3b0e0dab2b9b6ea845f87df0-kvpmx.png,IDFC CC EMI WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-hotels,Mayura Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/91d7cb6f3b0e0dab2b9b6ea845f87df0-kvpmx.png,IDFC CC EMI WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-hotels,IDFC First Power+ Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/91d7cb6f3b0e0dab2b9b6ea845f87df0-kvpmx.png,IDFC CC EMI WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-hotels,IDFC FIRST SWYP Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/91d7cb6f3b0e0dab2b9b6ea845f87df0-kvpmx.png,IDFC CC EMI WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-hotels,IDFC First Bank First Wow Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/91d7cb6f3b0e0dab2b9b6ea845f87df0-kvpmx.png,IDFC CC EMI WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-hotels,IDFC First Bank First Private Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/91d7cb6f3b0e0dab2b9b6ea845f87df0-kvpmx.png,IDFC CC EMI WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-hotels,IDFC First Power Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/91d7cb6f3b0e0dab2b9b6ea845f87df0-kvpmx.png,IDFC CC EMI WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-hotels,IDFC Bank IDFC First Wealth Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/91d7cb6f3b0e0dab2b9b6ea845f87df0-kvpmx.png,IDFC CC EMI WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-hotels,IDFC First Select Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/91d7cb6f3b0e0dab2b9b6ea845f87df0-kvpmx.png,IDFC CC EMI WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-hotels,IDFC Bank First Classic Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/91d7cb6f3b0e0dab2b9b6ea845f87df0-kvpmx.png,IDFC CC EMI WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-hotels,IDFC Bank First Millennia Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/91d7cb6f3b0e0dab2b9b6ea845f87df0-kvpmx.png,IDFC CC EMI WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-hotels,
https://images.ixigo.com/image/upload/f_auto/img/29e81c8131d6063db302f0edf247aecf-rmjzr.png,HOTEL CCSTAY WEB,https://www.ixigo.com/offers/ccstay,ixigo AU Credit Card
,,,
,,,
,,,
https://images.ixigo.com/image/upload/f_auto/img/a4d18a5c9db1617657bc4ef5d5e67b81-eeunc.png,FEDERAL HOTEL WEB,https://www.ixigo.com/offers/federal-hotelsemi,Federal Bank Wave Credit Card
https://images.ixigo.com/image/upload/f_auto/img/a4d18a5c9db1617657bc4ef5d5e67b81-eeunc.png,FEDERAL HOTEL WEB,https://www.ixigo.com/offers/federal-hotelsemi,Federal Bank AmpliFi Credit Card
https://images.ixigo.com/image/upload/f_auto/img/a4d18a5c9db1617657bc4ef5d5e67b81-eeunc.png,FEDERAL HOTEL WEB,https://www.ixigo.com/offers/federal-hotelsemi,Federal Bank MagniFi Credit Card
https://images.ixigo.com/image/upload/f_auto/img/a4d18a5c9db1617657bc4ef5d5e67b81-eeunc.png,FEDERAL HOTEL WEB,https://www.ixigo.com/offers/federal-hotelsemi,Federal Bank Visa Imperio
https://images.ixigo.com/image/upload/f_auto/img/a4d18a5c9db1617657bc4ef5d5e67b81-eeunc.png,FEDERAL HOTEL WEB,https://www.ixigo.com/offers/federal-hotelsemi,Federal Bank Visa Celesta
https://images.ixigo.com/image/upload/f_auto/img/a4d18a5c9db1617657bc4ef5d5e67b81-eeunc.png,FEDERAL HOTEL WEB,https://www.ixigo.com/offers/federal-hotelsemi,Federal Bank Scapia Credit Card
https://images.ixigo.com/image/upload/f_auto/img/a4d18a5c9db1617657bc4ef5d5e67b81-eeunc.png,FEDERAL HOTEL WEB,https://www.ixigo.com/offers/federal-hotelsemi,Federal Bank Rupay Signet Credit Card
https://images.ixigo.com/image/upload/f_auto/img/a4d18a5c9db1617657bc4ef5d5e67b81-eeunc.png,FEDERAL HOTEL WEB,https://www.ixigo.com/offers/federal-hotelsemi,Federal Bank Mastercard Signet
https://images.ixigo.com/image/upload/f_auto/img/a4d18a5c9db1617657bc4ef5d5e67b81-eeunc.png,FEDERAL HOTEL WEB,https://www.ixigo.com/offers/federal-hotelsemi,
https://images.ixigo.com/image/upload/f_auto/img/7750e09d369cc6caa470b217d402bac0-oupwu.png,Freedom Sale HOTEL WEB,https://www.ixigo.com/offers/icici3k,ICICI HPCL Coral Credit Card
https://images.ixigo.com/image/upload/f_auto/img/7750e09d369cc6caa470b217d402bac0-oupwu.png,Freedom Sale HOTEL WEB,https://www.ixigo.com/offers/icici3k,ICICI Parakram Select Credit Card
https://images.ixigo.com/image/upload/f_auto/img/7750e09d369cc6caa470b217d402bac0-oupwu.png,Freedom Sale HOTEL WEB,https://www.ixigo.com/offers/icici3k,ICICI Parakram Credit Card
https://images.ixigo.com/image/upload/f_auto/img/7750e09d369cc6caa470b217d402bac0-oupwu.png,Freedom Sale HOTEL WEB,https://www.ixigo.com/offers/icici3k,Adani One ICICI Platinum Credit Card
https://images.ixigo.com/image/upload/f_auto/img/7750e09d369cc6caa470b217d402bac0-oupwu.png,Freedom Sale HOTEL WEB,https://www.ixigo.com/offers/icici3k,Adani One ICICI Signature Credit Card
https://images.ixigo.com/image/upload/f_auto/img/7750e09d369cc6caa470b217d402bac0-oupwu.png,Freedom Sale HOTEL WEB,https://www.ixigo.com/offers/icici3k,Skywards ICICI Bank Emerald Credit Card
https://images.ixigo.com/image/upload/f_auto/img/7750e09d369cc6caa470b217d402bac0-oupwu.png,Freedom Sale HOTEL WEB,https://www.ixigo.com/offers/icici3k,ICICI Bank Instant Platinum Credit Card
https://images.ixigo.com/image/upload/f_auto/img/7750e09d369cc6caa470b217d402bac0-oupwu.png,Freedom Sale HOTEL WEB,https://www.ixigo.com/offers/icici3k,Emirates Skywards Rubyx Credit Card
https://images.ixigo.com/image/upload/f_auto/img/7750e09d369cc6caa470b217d402bac0-oupwu.png,Freedom Sale HOTEL WEB,https://www.ixigo.com/offers/icici3k,Skywards ICICI Bank Sapphiro Credit Card
https://images.ixigo.com/image/upload/f_auto/img/7750e09d369cc6caa470b217d402bac0-oupwu.png,Freedom Sale HOTEL WEB,https://www.ixigo.com/offers/icici3k,Accelero ICICI Bank Credit Card
https://images.ixigo.com/image/upload/f_auto/img/7750e09d369cc6caa470b217d402bac0-oupwu.png,Freedom Sale HOTEL WEB,https://www.ixigo.com/offers/icici3k,Chennai Super Kings ICICI Bank Credit Card
https://images.ixigo.com/image/upload/f_auto/img/7750e09d369cc6caa470b217d402bac0-oupwu.png,Freedom Sale HOTEL WEB,https://www.ixigo.com/offers/icici3k,ICICI Manchester United Signature Credit Card
https://images.ixigo.com/image/upload/f_auto/img/7750e09d369cc6caa470b217d402bac0-oupwu.png,Freedom Sale HOTEL WEB,https://www.ixigo.com/offers/icici3k,ICICI Manchester United Platinum Credit Card
https://images.ixigo.com/image/upload/f_auto/img/7750e09d369cc6caa470b217d402bac0-oupwu.png,Freedom Sale HOTEL WEB,https://www.ixigo.com/offers/icici3k,Expressions Credit Card
https://images.ixigo.com/image/upload/f_auto/img/7750e09d369cc6caa470b217d402bac0-oupwu.png,Freedom Sale HOTEL WEB,https://www.ixigo.com/offers/icici3k,Platinum Chip Credit Card
https://images.ixigo.com/image/upload/f_auto/img/7750e09d369cc6caa470b217d402bac0-oupwu.png,Freedom Sale HOTEL WEB,https://www.ixigo.com/offers/icici3k,ICICI Bank HPCL Super Saver Credit Card
https://images.ixigo.com/image/upload/f_auto/img/7750e09d369cc6caa470b217d402bac0-oupwu.png,Freedom Sale HOTEL WEB,https://www.ixigo.com/offers/icici3k,ICICI Bank Emeralde Credit Card
https://images.ixigo.com/image/upload/f_auto/img/7750e09d369cc6caa470b217d402bac0-oupwu.png,Freedom Sale HOTEL WEB,https://www.ixigo.com/offers/icici3k,ICICI Bank Rubyx Credit Card
https://images.ixigo.com/image/upload/f_auto/img/7750e09d369cc6caa470b217d402bac0-oupwu.png,Freedom Sale HOTEL WEB,https://www.ixigo.com/offers/icici3k,ICICI Bank Coral Credit Card
https://images.ixigo.com/image/upload/f_auto/img/7750e09d369cc6caa470b217d402bac0-oupwu.png,Freedom Sale HOTEL WEB,https://www.ixigo.com/offers/icici3k,ICICI Bank Sapphiro Credit Card
https://images.ixigo.com/image/upload/f_auto/img/7750e09d369cc6caa470b217d402bac0-oupwu.png,Freedom Sale HOTEL WEB,https://www.ixigo.com/offers/icici3k,MakemyTrip ICICI Bank Credit Card
https://images.ixigo.com/image/upload/f_auto/img/7750e09d369cc6caa470b217d402bac0-oupwu.png,Freedom Sale HOTEL WEB,https://www.ixigo.com/offers/icici3k,
https://images.ixigo.com/image/upload/f_auto/upload/aaa94d376bf4e87e0f938a2d90045e67-dopyf.png,IDFC CC EMI INT WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-int-hotels,FIRST EARN RuPay Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/aaa94d376bf4e87e0f938a2d90045e67-dopyf.png,IDFC CC EMI INT WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-int-hotels,Ashva Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/aaa94d376bf4e87e0f938a2d90045e67-dopyf.png,IDFC CC EMI INT WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-int-hotels,Mayura Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/aaa94d376bf4e87e0f938a2d90045e67-dopyf.png,IDFC CC EMI INT WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-int-hotels,IDFC First Power+ Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/aaa94d376bf4e87e0f938a2d90045e67-dopyf.png,IDFC CC EMI INT WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-int-hotels,IDFC FIRST SWYP Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/aaa94d376bf4e87e0f938a2d90045e67-dopyf.png,IDFC CC EMI INT WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-int-hotels,IDFC First Bank First Wow Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/aaa94d376bf4e87e0f938a2d90045e67-dopyf.png,IDFC CC EMI INT WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-int-hotels,IDFC First Bank First Private Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/aaa94d376bf4e87e0f938a2d90045e67-dopyf.png,IDFC CC EMI INT WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-int-hotels,IDFC First Power Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/aaa94d376bf4e87e0f938a2d90045e67-dopyf.png,IDFC CC EMI INT WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-int-hotels,IDFC Bank IDFC First Wealth Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/aaa94d376bf4e87e0f938a2d90045e67-dopyf.png,IDFC CC EMI INT WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-int-hotels,IDFC First Select Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/aaa94d376bf4e87e0f938a2d90045e67-dopyf.png,IDFC CC EMI INT WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-int-hotels,IDFC Bank First Classic Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/aaa94d376bf4e87e0f938a2d90045e67-dopyf.png,IDFC CC EMI INT WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-int-hotels,IDFC Bank First Millennia Credit Card
https://images.ixigo.com/image/upload/f_auto/upload/aaa94d376bf4e87e0f938a2d90045e67-dopyf.png,IDFC CC EMI INT WEB HOTEL,https://www.ixigo.com/offers/idfc-emi-int-hotels,
https://images.ixigo.com/image/upload/f_auto/ixigo1/0e5b9ce3101c22a6bde814a46088773a-xmzsd.png,IXIAUEMID WEB,https://www.ixigo.com/offers/au-bank-emi-hotel,AU Bank InstaPay Credit Card
https://images.ixigo.com/image/upload/f_auto/ixigo1/0e5b9ce3101c22a6bde814a46088773a-xmzsd.png,IXIAUEMID WEB,https://www.ixigo.com/offers/au-bank-emi-hotel,AU Bank Zenith+ Credit Card
https://images.ixigo.com/image/upload/f_auto/ixigo1/0e5b9ce3101c22a6bde814a46088773a-xmzsd.png,IXIAUEMID WEB,https://www.ixigo.com/offers/au-bank-emi-hotel,AU Small Finance Bank ixigo Credit Card
https://images.ixigo.com/image/upload/f_auto/ixigo1/0e5b9ce3101c22a6bde814a46088773a-xmzsd.png,IXIAUEMID WEB,https://www.ixigo.com/offers/au-bank-emi-hotel,AU Small Finance Bank Zenith Credit Card
https://images.ixigo.com/image/upload/f_auto/ixigo1/0e5b9ce3101c22a6bde814a46088773a-xmzsd.png,IXIAUEMID WEB,https://www.ixigo.com/offers/au-bank-emi-hotel,AU Small Finance Bank Altura Plus Credit Card
https://images.ixigo.com/image/upload/f_auto/ixigo1/0e5b9ce3101c22a6bde814a46088773a-xmzsd.png,IXIAUEMID WEB,https://www.ixigo.com/offers/au-bank-emi-hotel,AU Small Finance Bank Altura Credit Card
https://images.ixigo.com/image/upload/f_auto/ixigo1/0e5b9ce3101c22a6bde814a46088773a-xmzsd.png,IXIAUEMID WEB,https://www.ixigo.com/offers/au-bank-emi-hotel,AU Small Finance Bank LIT Credit Card
https://images.ixigo.com/image/upload/f_auto/ixigo1/0e5b9ce3101c22a6bde814a46088773a-xmzsd.png,IXIAUEMID WEB,https://www.ixigo.com/offers/au-bank-emi-hotel,Au Small Finance Bank Vetta Credit Card
https://images.ixigo.com/image/upload/f_auto/ixigo1/0e5b9ce3101c22a6bde814a46088773a-xmzsd.png,IXIAUEMID WEB,https://www.ixigo.com/offers/au-bank-emi-hotel,
https://images.ixigo.com/image/upload/f_auto/ixigo1/3019701cbf5f596519752be367ba011b-anwak.png,IXIAUEMIN WEB,https://www.ixigo.com/offers/au-intl-emi,AU Bank InstaPay Credit Card
https://images.ixigo.com/image/upload/f_auto/ixigo1/3019701cbf5f596519752be367ba011b-anwak.png,IXIAUEMIN WEB,https://www.ixigo.com/offers/au-intl-emi,AU Bank Zenith+ Credit Card
https://images.ixigo.com/image/upload/f_auto/ixigo1/3019701cbf5f596519752be367ba011b-anwak.png,IXIAUEMIN WEB,https://www.ixigo.com/offers/au-intl-emi,AU Small Finance Bank ixigo Credit Card
https://images.ixigo.com/image/upload/f_auto/ixigo1/3019701cbf5f596519752be367ba011b-anwak.png,IXIAUEMIN WEB,https://www.ixigo.com/offers/au-intl-emi,AU Small Finance Bank Zenith Credit Card
https://images.ixigo.com/image/upload/f_auto/ixigo1/3019701cbf5f596519752be367ba011b-anwak.png,IXIAUEMIN WEB,https://www.ixigo.com/offers/au-intl-emi,AU Small Finance Bank Altura Plus Credit Card
https://images.ixigo.com/image/upload/f_auto/ixigo1/3019701cbf5f596519752be367ba011b-anwak.png,IXIAUEMIN WEB,https://www.ixigo.com/offers/au-intl-emi,AU Small Finance Bank Altura Credit Card
https://images.ixigo.com/image/upload/f_auto/ixigo1/3019701cbf5f596519752be367ba011b-anwak.png,IXIAUEMIN WEB,https://www.ixigo.com/offers/au-intl-emi,AU Small Finance Bank LIT Credit Card
https://images.ixigo.com/image/upload/f_auto/ixigo1/3019701cbf5f596519752be367ba011b-anwak.png,IXIAUEMIN WEB,https://www.ixigo.com/offers/au-intl-emi,Au Small Finance Bank Vetta Credit Card
https://images.ixigo.com/image/upload/f_auto/ixigo1/3019701cbf5f596519752be367ba011b-anwak.png,IXIAUEMIN WEB,https://www.ixigo.com/offers/au-intl-emi,
